,session_id,event_type_encoded,date,siteName
18052,102,"  (0, 5)	1.0",1666277113.414,1
18051,102,"  (0, 4)	1.0",1666277113.446,1
18054,102,"  (0, 5)	1.0",1666277113.544,1
18053,102,"  (0, 4)	1.0",1666277113.597,1
18055,102,"  (0, 5)	1.0",1666277113.884,1
18056,102,"  (0, 2)	1.0",1666277114.571,1
18057,102,"  (0, 4)	1.0",1666277115.085,1
18058,102,"  (0, 0)	1.0",1666277123.539,1
18059,102,"  (0, 1)	1.0",1666277123.751,1
18060,102,"  (0, 5)	1.0",1666277124.95,1
18062,102,"  (0, 4)	1.0",1666277125.031,1
18061,102,"  (0, 5)	1.0",1666277125.099,1
18063,102,"  (0, 2)	1.0",1666277127.315,1
18064,102,"  (0, 0)	1.0",1666277138.117,1
18065,102,"  (0, 2)	1.0",1666277138.12,1
18067,102,"  (0, 0)	1.0",1666277153.315,1
18066,102,"  (0, 2)	1.0",1666277153.316,1
18068,102,"  (0, 4)	1.0",1666277154.634,1
18069,102,"  (0, 5)	1.0",1666277158.384,1
18070,102,"  (0, 4)	1.0",1666277158.93,1
18071,102,"  (0, 5)	1.0",1666277162.201,1
18072,102,"  (0, 3)	1.0",1666277175.537,1
18073,102,"  (0, 3)	1.0",1666277175.698,1
18074,102,"  (0, 3)	1.0",1666277175.862,1
18075,102,"  (0, 3)	1.0",1666277175.985,1
18076,102,"  (0, 3)	1.0",1666277176.127,1
18077,102,"  (0, 4)	1.0",1666277178.035,1
18078,102,"  (0, 5)	1.0",1666277178.185,1
18079,102,"  (0, 4)	1.0",1666277178.252,1
18080,102,"  (0, 5)	1.0",1666277178.42,1
18081,102,"  (0, 0)	1.0",1666277178.699,1
18082,102,"  (0, 2)	1.0",1666277178.7,1
18083,102,"  (0, 3)	1.0",1666277182.463,1
18084,102,"  (0, 3)	1.0",1666277182.62,1
18085,102,"  (0, 3)	1.0",1666277182.808,1
18086,102,"  (0, 4)	1.0",1666277184.672,1
18087,102,"  (0, 0)	1.0",1666277185.015,1
18088,102,"  (0, 1)	1.0",1666277185.091,1
18096,102,"  (0, 5)	1.0",1666277187.637,1
18097,102,"  (0, 2)	1.0",1666277187.994,1
18099,102,"  (0, 4)	1.0",1666277189.981,1
18100,102,"  (0, 3)	1.0",1666277191.711,1
